customer_id,acquisition_date,acquisition_cost_usd,market_segment,supplier_id,order_id,order_date,order_value_usd,payment_date,satisfaction_score,support_tickets,lead_time_days
CUST-001,05/01/2024,850,North America,SUP-A,ORD-1001,15/01/2024,12500,18/02/2024,4,1,14
CUST-002,06/01/2024,920,Europe,SUP-B,ORD-1002,18/01/2024,8500,25/02/2024,5,0,16
CUST-003,07/01/2024,880,Asia-Pacific,SUP-C,ORD-1003,20/01/2024,21000,01/03/2024,4,2,15
CUST-004,08/01/2024,790,North America,SUP-A,ORD-1004,22/01/2024,7500,28/02/2024,3,1,13
CUST-005,09/01/2024,950,Europe,SUP-D,ORD-1005,25/01/2024,15000,05/03/2024,5,0,12
CUST-006,10/01/2024,830,Middle East,SUP-E,ORD-1006,28/01/2024,9500,10/03/2024,4,1,14
CUST-007,11/01/2024,910,North America,SUP-B,ORD-1007,30/01/2024,18000,12/03/2024,5,0,13
CUST-008,12/01/2024,860,Asia-Pacific,SUP-F,ORD-1008,02/02/2024,11000,15/03/2024,4,0,15
CUST-009,13/01/2024,900,Europe,SUP-C,ORD-1009,05/02/2024,13500,18/03/2024,4,1,12
CUST-010,14/01/2024,810,Africa,SUP-G,ORD-1010,08/02/2024,6500,20/03/2024,3,2,17
CUST-011,15/01/2024,890,North America,SUP-D,ORD-1011,10/02/2024,16000,22/03/2024,5,0,13
CUST-012,16/01/2024,930,Europe,SUP-A,ORD-1012,12/02/2024,9500,25/03/2024,4,0,14
CUST-013,17/01/2024,840,Asia-Pacific,SUP-E,ORD-1013,15/02/2024,22000,28/03/2024,4,1,16
CUST-014,18/01/2024,870,Middle East,SUP-B,ORD-1014,18/02/2024,8000,30/03/2024,5,0,13
CUST-015,19/01/2024,960,North America,SUP-F,ORD-1015,20/02/2024,17500,02/04/2024,3,2,15
CUST-016,20/01/2024,820,Europe,SUP-G,ORD-1016,22/02/2024,10500,05/04/2024,4,1,14
CUST-017,21/01/2024,940,Asia-Pacific,SUP-C,ORD-1017,25/02/2024,19000,08/04/2024,5,0,12
CUST-018,22/01/2024,800,Africa,SUP-A,ORD-1018,28/02/2024,5500,10/04/2024,4,1,18
CUST-019,23/01/2024,910,North America,SUP-E,ORD-1019,02/03/2024,14000,12/04/2024,4,0,13
CUST-020,24/01/2024,880,Europe,SUP-B,ORD-1020,05/03/2024,11500,15/04/2024,5,0,14
CUST-021,25/01/2024,860,Asia-Pacific,SUP-D,ORD-1021,08/03/2024,24000,18/04/2024,3,3,16
CUST-022,26/01/2024,920,Middle East,SUP-F,ORD-1022,10/03/2024,9000,20/04/2024,4,1,15
CUST-023,27/01/2024,850,North America,SUP-G,ORD-1023,12/03/2024,16500,22/04/2024,5,0,12
CUST-024,28/01/2024,890,Europe,SUP-C,ORD-1024,15/03/2024,12500,25/04/2024,4,1,14
CUST-025,29/01/2024,830,Asia-Pacific,SUP-A,ORD-1025,18/03/2024,20000,28/04/2024,5,0,15
CUST-026,30/01/2024,950,Africa,SUP-E,ORD-1026,20/03/2024,7000,30/04/2024,3,1,19
CUST-027,31/01/2024,870,North America,SUP-B,ORD-1027,22/03/2024,15000,02/05/2024,4,0,13
CUST-028,01/02/2024,900,Europe,SUP-D,ORD-1028,25/03/2024,10000,05/05/2024,5,0,14
