date,region,carrier,shipments_processed,delay_hours_avg,fuel_price_usd_per_barrel,warehouse_utilization_percent,damage_claims_count
01/06/2024,Asia-Pacific,OceanExpress,2100,4.1,81.1,92,12
01/06/2024,Europe,GlobalConnect,1200,1.8,79.5,75,2
01/06/2024,North America,FastShip,1500,2.5,78.2,85,5
01/06/2024,North America,ReliableLogistics,900,1.2,78.2,60,1
02/06/2024,Asia-Pacific,OceanExpress,2200,4.5,81.4,93,15
02/06/2024,Europe,GlobalConnect,1250,1.5,79.8,74,3
02/06/2024,North America,FastShip,1450,2.8,78.5,86,6
02/06/2024,North America,ReliableLogistics,920,1.1,78.5,61,0
03/06/2024,Asia-Pacific,OceanExpress,2050,4.0,81.7,91,11
03/06/2024,Europe,GlobalConnect,1180,1.9,80.1,76,2
03/06/2024,North America,FastShip,1550,2.3,78.8,84,4
03/06/2024,North America,ReliableLogistics,880,1.3,78.8,59,2
04/06/2024,Asia-Pacific,OceanExpress,2300,4.8,82.0,94,18
04/06/2024,Europe,GlobalConnect,1300,1.7,80.3,73,1
04/06/2024,North America,FastShip,1600,2.1,79.0,83,3
04/06/2024,North America,ReliableLogistics,950,1.0,79.0,62,0
05/06/2024,Asia-Pacific,OceanExpress,2000,3.8,82.3,90,10
05/06/2024,Europe,GlobalConnect,1150,2.0,80.6,77,4
05/06/2024,North America,FastShip,1400,3.0,79.3,87,7
05/06/2024,North America,ReliableLogistics,850,1.4,79.3,58,3
06/06/2024,Asia-Pacific,OceanExpress,2150,4.3,82.6,92,14
06/06/2024,Europe,GlobalConnect,1220,1.6,80.9,75,2
06/06/2024,North America,FastShip,1520,2.7,79.6,85,5
06/06/2024,North America,ReliableLogistics,910,1.2,79.6,60,1
07/06/2024,Asia-Pacific,OceanExpress,2250,4.6,82.9,93,16
07/06/2024,Europe,GlobalConnect,1280,1.4,81.2,74,3
07/06/2024,North America,FastShip,1480,2.9,79.9,86,6
07/06/2024,North America,ReliableLogistics,930,1.0,79.9,61,0
08/06/2024,Asia-Pacific,OceanExpress,2080,4.2,83.2,91,13
08/06/2024,Europe,GlobalConnect,1190,1.8,81.5,76,2
08/06/2024,North America,FastShip,1580,2.2,80.1,84,4
08/06/2024,North America,ReliableLogistics,890,1.3,80.1,59,2
09/06/2024,Asia-Pacific,OceanExpress,2350,4.9,83.5,94,19
09/06/2024,Europe,GlobalConnect,1320,1.6,81.8,73,1
09/06/2024,North America,FastShip,1620,2.0,80.4,83,3
09/06/2024,North America,ReliableLogistics,960,0.9,80.4,62,0
10/06/2024,Asia-Pacific,OceanExpress,2020,3.9,83.8,90,11
10/06/2024,Europe,GlobalConnect,1170,2.1,82.1,77,4
10/06/2024,North America,FastShip,1420,3.1,80.7,87,7
10/06/2024,North America,ReliableLogistics,870,1.5,80.7,58,3
11/06/2024,Asia-Pacific,OceanExpress,2180,4.4,84.1,92,15
11/06/2024,Europe,GlobalConnect,1240,1.5,82.4,75,2
11/06/2024,North America,FastShip,1540,2.6,81.0,85,5
11/06/2024,North America,ReliableLogistics,920,1.1,81.0,60,1
12/06/2024,Asia-Pacific,OceanExpress,2280,4.7,84.4,93,17
12/06/2024,Europe,GlobalConnect,1290,1.4,82.7,74,3
12/06/2024,North America,FastShip,1490,2.9,81.3,86,6
12/06/2024,North America,ReliableLogistics,940,1.0,81.3,61,0
13/06/2024,Asia-Pacific,OceanExpress,2100,4.1,84.7,91,12
13/06/2024,Europe,GlobalConnect,1200,1.7,83.0,76,2
13/06/2024,North America,FastShip,1590,2.2,81.6,84,4
13/06/2024,North America,ReliableLogistics,900,1.3,81.6,59,2
14/06/2024,Asia-Pacific,OceanExpress,2370,5.0,85.0,94,20
14/06/2024,Europe,GlobalConnect,1330,1.6,83.3,73,1
14/06/2024,North America,FastShip,1610,2.0,81.9,83,3
14/06/2024,North America,ReliableLogistics,970,0.9,81.9,62,0
