shipment_id,type,date,product_category,origin,O_Country,destination,D_Country,value,freight_cost,customs_clearance_time_days,delivery_status
SHP-2024-0001,Export,02/01/2024,Electronics,Mumbai,India,New York,USA,85000,4250,2.1,On-Time
SHP-2024-0002,Import,03/01/2024,Textiles,Shanghai,China,Mumbai,India,120000,6000,3.5,On-Time
SHP-2024-0003,Export,04/01/2024,Consumer Goods,Mumbai,India,London,UK,45000,2250,1.8,On-Time
SHP-2024-0004,Import,05/01/2024,Industrial Equipment,Hamburg,Germany,Mumbai,India,250000,12500,4.2,Delayed
SHP-2024-0005,Export,06/01/2024,Electronics,Mumbai,India,Tokyo,Japan,95000,4750,2.5,On-Time
SHP-2024-0006,Import,07/01/2024,Consumer Goods,Ho Chi Minh City,Vietnam,Mumbai,India,60000,3000,2,On-Time
SHP-2024-0007,Export,08/01/2024,Textiles,Mumbai,India,Dubai,UAE,75000,3750,1.5,On-Time
SHP-2024-0008,Import,09/01/2024,Electronics,Seoul,South Korea,Mumbai,India,180000,9000,3.8,On-Time
SHP-2024-0010,Import,11/01/2024,Textiles,Dhaka,Bangladesh,Mumbai,India,90000,4500,2.7,On-Time
SHP-2024-0011,Export,12/01/2024,Consumer Goods,Mumbai,India,Sydney,Australia,55000,2750,3.1,Delayed
SHP-2024-0012,Import,13/01/2024,Electronics,Taipei,Taiwan,Mumbai,India,210000,10500,4,On-Time
SHP-2024-0013,Export,14/01/2024,Industrial Equipment,Mumbai,India,Rotterdam,Netherlands,130000,6500,3.3,On-Time
SHP-2024-0014,Import,15/01/2024,Consumer Goods,Bangkok,Thailand,Mumbai,India,70000,3500,2.4,On-Time
SHP-2024-0015,Export,16/01/2024,Textiles,Mumbai,India,New York,USA,110000,5500,2.9,On-Time
SHP-2024-0016,Import,17/01/2024,Industrial Equipment,Genoa,Italy,Mumbai,India,190000,9500,4.5,On-Time
SHP-2024-0017,Export,18/01/2024,Electronics,Mumbai,India,Los Angeles,USA,150000,7500,3,On-Time
SHP-2024-0018,Import,19/01/2024,Textiles,Istanbul,Turkey,Mumbai,India,80000,4000,3.2,Delayed
SHP-2024-0019,Export,20/01/2024,Consumer Goods,Mumbai,India,Jeddah,Saudi Arabia,35000,1750,1.9,On-Time
SHP-2024-0020,Import,21/01/2024,Electronics,San Francisco,USA,Mumbai,India,220000,11000,4.1,On-Time
SHP-2024-0021,Export,22/01/2024,Industrial Equipment,Mumbai,India,Durban,South Africa,95000,4750,3.6,On-Time
SHP-2024-0022,Import,23/01/2024,Consumer Goods,Jakarta,Indonesia,Mumbai,India,48000,2400,2.6,On-Time
SHP-2024-0023,Export,24/01/2024,Textiles,Mumbai,India,Lagos,Nigeria,65000,3250,3.4,On-Time
SHP-2024-0024,Import,25/01/2024,Industrial Equipment,Yokohama,Japan,Mumbai,India,300000,15000,4.8,Delayed
SHP-2024-0025,Export,26/01/2024,Electronics,Mumbai,India,Mexico City,Mexico,120000,6000,3.9,On-Time
SHP-2024-0026,Import,27/01/2024,Consumer Goods,Manila,Philippines,Mumbai,India,40000,2000,2.8,On-Time
SHP-2024-0027,Export,28/01/2024,Textiles,Mumbai,India,Cairo,Egypt,50000,2500,2.3,On-Time
SHP-2024-0028,Import,29/01/2024,Electronics,Helsinki,Finland,Mumbai,India,160000,8000,3.7,On-Time
SHP-2024-0029,Export,30/01/2024,Consumer Goods,Mumbai,India,Rio de Janeiro,Brazil,70000,3500,4.3,On-Time
SHP-2024-0030,Import,31/01/2024,Industrial Equipment,Busan,South Korea,Mumbai,India,280000,14000,4.6,On-Time
SHP-2024-0031,Export,01/02/2024,Electronics,Mumbai,India,New York,USA,88000,4400,2.2,On-Time
SHP-2024-0032,Import,02/02/2024,Textiles,Shanghai,China,Mumbai,India,125000,6250,3.6,On-Time
SHP-2024-0033,Export,03/02/2024,Consumer Goods,Mumbai,India,London,UK,47000,2350,1.9,Delayed
SHP-2024-0034,Import,04/02/2024,Industrial Equipment,Hamburg,Germany,Mumbai,India,260000,13000,4.3,On-Time
SHP-2024-0035,Export,05/02/2024,Electronics,Mumbai,India,Tokyo,Japan,99000,4950,2.6,On-Time
SHP-2024-0036,Import,06/02/2024,Consumer Goods,Ho Chi Minh City,Vietnam,Mumbai,India,63000,3150,2.1,On-Time
SHP-2024-0037,Export,07/02/2024,Textiles,Mumbai,India,Dubai,UAE,79000,3950,1.6,On-Time
SHP-2024-0038,Import,08/02/2024,Electronics,Seoul,South Korea,Mumbai,India,187000,9350,3.9,On-Time
SHP-2024-0040,Import,10/02/2024,Textiles,Dhaka,Bangladesh,Mumbai,India,94000,4700,2.8,On-Time
SHP-2024-0041,Export,11/02/2024,Consumer Goods,Mumbai,India,Sydney,Australia,59000,2950,3.2,On-Time
SHP-2024-0042,Import,12/02/2024,Electronics,Taipei,Taiwan,Mumbai,India,218000,10900,4.1,On-Time
SHP-2024-0043,Export,13/02/2024,Industrial Equipment,Mumbai,India,Rotterdam,Netherlands,138000,6900,3.4,On-Time
SHP-2024-0044,Import,14/02/2024,Consumer Goods,Bangkok,Thailand,Mumbai,India,74000,3700,2.5,On-Time
SHP-2024-0045,Export,15/02/2024,Textiles,Mumbai,India,New York,USA,115000,5750,3,Delayed
SHP-2024-0046,Import,16/02/2024,Industrial Equipment,Genoa,Italy,Mumbai,India,198000,9900,4.6,On-Time
SHP-2024-0047,Export,17/02/2024,Electronics,Mumbai,India,Los Angeles,USA,158000,7900,3.1,On-Time
SHP-2024-0048,Import,18/02/2024,Textiles,Istanbul,Turkey,Mumbai,India,84000,4200,3.3,On-Time
SHP-2024-0049,Export,19/02/2024,Consumer Goods,Mumbai,India,Jeddah,Saudi Arabia,39000,1950,2,On-Time
SHP-2024-0050,Import,20/02/2024,Electronics,San Francisco,USA,Mumbai,India,228000,11400,4.2,On-Time
SHP-2024-0051,Export,21/02/2024,Industrial Equipment,Mumbai,India,Durban,South Africa,98000,4900,3.7,On-Time
SHP-2024-0052,Import,22/02/2024,Consumer Goods,Jakarta,Indonesia,Mumbai,India,51000,2550,2.7,On-Time
SHP-2024-0053,Export,23/02/2024,Textiles,Mumbai,India,Lagos,Nigeria,68000,3400,3.5,Delayed
SHP-2024-0054,Import,24/02/2024,Industrial Equipment,Yokohama,Japan,Mumbai,India,310000,15500,4.9,On-Time
SHP-2024-0055,Export,25/02/2024,Electronics,Mumbai,India,Mexico City,Mexico,124000,6200,4,On-Time
SHP-2024-0056,Import,26/02/2024,Consumer Goods,Manila,Philippines,Mumbai,India,43000,2150,2.9,On-Time
SHP-2024-0057,Export,27/02/2024,Textiles,Mumbai,India,Cairo,Egypt,53000,2650,2.4,On-Time
SHP-2024-0058,Import,28/02/2024,Electronics,Helsinki,Finland,Mumbai,India,165000,8250,3.8,On-Time
SHP-2024-0059,Export,01/03/2024,Consumer Goods,Mumbai,India,Rio de Janeiro,Brazil,73000,3650,4.4,Delayed
SHP-2024-0060,Import,02/03/2024,Industrial Equipment,Busan,South Korea,Mumbai,India,288000,14400,4.7,On-Time
SHP-2024-0061,Export,03/03/2024,Electronics,Mumbai,India,New York,USA,92000,4600,2.3,On-Time
SHP-2024-0062,Import,04/03/2024,Textiles,Shanghai,China,Mumbai,India,130000,6500,3.7,On-Time
SHP-2024-0063,Export,05/03/2024,Consumer Goods,Mumbai,India,London,UK,50000,2500,2,On-Time
SHP-2024-0064,Import,06/03/2024,Industrial Equipment,Hamburg,Germany,Mumbai,India,270000,13500,4.4,On-Time
SHP-2024-0065,Export,07/03/2024,Electronics,Mumbai,India,Tokyo,Japan,105000,5250,2.7,On-Time
SHP-2024-0066,Import,08/03/2024,Consumer Goods,Ho Chi Minh City,Vietnam,Mumbai,India,66000,3300,2.2,Delayed
SHP-2024-0067,Export,09/03/2024,Textiles,Mumbai,India,Dubai,UAE,83000,4150,1.7,On-Time
SHP-2024-0068,Import,10/03/2024,Electronics,Seoul,South Korea,Mumbai,India,195000,9750,4,On-Time
SHP-2024-0070,Import,12/03/2024,Textiles,Dhaka,Bangladesh,Mumbai,India,98000,4900,2.9,On-Time
SHP-2024-0071,Export,13/03/2024,Consumer Goods,Mumbai,India,Sydney,Australia,62000,3100,3.3,On-Time
SHP-2024-0072,Import,14/03/2024,Electronics,Taipei,Taiwan,Mumbai,India,225000,11250,4.2,Delayed
SHP-2024-0073,Export,15/03/2024,Industrial Equipment,Mumbai,India,Rotterdam,Netherlands,145000,7250,3.5,On-Time
SHP-2024-0074,Import,16/03/2024,Consumer Goods,Bangkok,Thailand,Mumbai,India,78000,3900,2.6,On-Time
SHP-2024-0075,Export,17/03/2024,Textiles,Mumbai,India,New York,USA,120000,6000,3.1,On-Time
SHP-2024-0076,Import,18/03/2024,Industrial Equipment,Genoa,Italy,Mumbai,India,205000,10250,4.7,On-Time
SHP-2024-0077,Export,19/03/2024,Electronics,Mumbai,India,Los Angeles,USA,165000,8250,3.2,On-Time
SHP-2024-0078,Import,20/03/2024,Textiles,Istanbul,Turkey,Mumbai,India,88000,4400,3.4,On-Time
SHP-2024-0079,Export,21/03/2024,Consumer Goods,Mumbai,India,Jeddah,Saudi Arabia,42000,2100,2.1,Delayed
SHP-2024-0080,Import,22/03/2024,Electronics,San Francisco,USA,Mumbai,India,235000,11750,4.3,On-Time
SHP-2024-0081,Export,23/03/2024,Industrial Equipment,Mumbai,India,Durban,South Africa,102000,5100,3.8,On-Time
SHP-2024-0082,Import,24/03/2024,Consumer Goods,Jakarta,Indonesia,Mumbai,India,54000,2700,2.8,On-Time
SHP-2024-0083,Export,25/03/2024,Textiles,Mumbai,India,Lagos,Nigeria,71000,3550,3.6,On-Time
SHP-2024-0084,Import,26/03/2024,Industrial Equipment,Yokohama,Japan,Mumbai,India,320000,16000,5,On-Time
SHP-2024-0085,Export,27/03/2024,Electronics,Mumbai,India,Mexico City,Mexico,128000,6400,4.1,Delayed
SHP-2024-0086,Import,28/03/2024,Consumer Goods,Manila,Philippines,Mumbai,India,46000,2300,3,On-Time
SHP-2024-0087,Export,29/03/2024,Textiles,Mumbai,India,Cairo,Egypt,56000,2800,2.5,On-Time
SHP-2024-0088,Import,30/03/2024,Electronics,Helsinki,Finland,Mumbai,India,170000,8500,3.9,On-Time
SHP-2024-0089,Export,31/03/2024,Consumer Goods,Mumbai,India,Rio de Janeiro,Brazil,76000,3800,4.5,On-Time
SHP-2024-0090,Import,01/04/2024,Industrial Equipment,Busan,South Korea,Mumbai,India,295000,14750,4.8,On-Time
SHP-2024-0091,Export,02/04/2024,Electronics,Mumbai,India,New York,USA,95000,4750,2.4,On-Time
SHP-2024-0092,Import,03/04/2024,Textiles,Shanghai,China,Mumbai,India,135000,6750,3.8,Delayed
SHP-2024-0093,Export,04/04/2024,Consumer Goods,Mumbai,India,London,UK,52000,2600,2.1,On-Time
SHP-2024-0094,Import,05/04/2024,Industrial Equipment,Hamburg,Germany,Mumbai,India,275000,13750,4.5,On-Time
SHP-2024-0095,Export,06/04/2024,Electronics,Mumbai,India,Tokyo,Japan,110000,5500,2.8,On-Time
