supplier_id,shipments,high_risk_shipments,medium_risk_shipments,high_risk_rate,avg_risk_score,avg_risk_probability,avg_lead_time_days,std_lead_time_days,avg_port_delay_days,avg_quality_score,avg_reliability_index,avg_weather_disruption,risk_band
SUP_114,49,38,6,0.7755,1.6735,0.8802,4.3104,1.5216,3.0249,82.1531,0.8594,4.9559,Critical
SUP_136,47,35,4,0.7447,1.5745,0.8328,4.4857,1.6137,2.6034,82.4744,0.8428,4.1427,Critical
SUP_138,38,28,4,0.7368,1.5789,0.8351,4.0898,1.4833,2.7213,79.5293,0.8368,4.5909,Critical
SUP_139,47,34,5,0.7234,1.5532,0.8263,4.4292,1.6142,2.8997,83.7293,0.842,5.3592,Critical
SUP_127,54,39,9,0.7222,1.6111,0.8353,4.4064,1.34,2.7726,81.4885,0.8425,4.786,Critical
SUP_148,43,31,3,0.7209,1.5116,0.8319,4.126,1.3135,2.932,82.807,0.8491,4.6976,Critical
SUP_132,50,36,7,0.72,1.58,0.8441,4.6198,1.3503,2.775,81.3447,0.8456,5.9529,Critical
SUP_106,72,50,15,0.6944,1.5972,0.8309,4.4879,1.4049,2.5366,81.8932,0.8379,4.8988,Critical
SUP_142,52,36,7,0.6923,1.5192,0.811,4.6124,1.5678,2.6154,79.6926,0.8439,4.3941,Critical
SUP_129,39,27,6,0.6923,1.5385,0.8047,4.6654,1.3167,2.4383,80.3025,0.8463,5.8521,Critical
SUP_121,58,40,7,0.6897,1.5,0.7961,4.4918,1.3421,2.5789,83.0808,0.8568,5.4303,Critical
SUP_147,51,35,11,0.6863,1.5882,0.8243,4.4946,1.4761,2.821,82.5935,0.8512,5.1477,Critical
SUP_146,53,36,6,0.6792,1.4717,0.8073,4.6346,1.4704,2.6846,82.2827,0.8617,5.1212,Critical
SUP_122,61,41,10,0.6721,1.5082,0.8089,4.4751,1.5444,2.5917,81.9357,0.8429,5.0427,Critical
SUP_118,45,30,7,0.6667,1.4889,0.8104,4.1424,1.2497,2.654,82.4361,0.836,4.8131,Critical
SUP_134,39,26,6,0.6667,1.4872,0.7843,4.293,1.5504,2.4796,84.1091,0.8554,5.1125,Critical
SUP_145,56,37,7,0.6607,1.4464,0.8061,4.5269,1.3633,2.7886,82.3197,0.869,4.7467,Critical
SUP_124,56,37,10,0.6607,1.5,0.7997,4.4381,1.4793,2.5351,81.484,0.8403,4.5218,Critical
SUP_109,47,31,6,0.6596,1.4468,0.7848,4.5449,1.5085,2.5082,82.7303,0.8573,5.2884,Critical
SUP_112,41,27,8,0.6585,1.5122,0.7929,4.2262,1.406,2.447,82.7467,0.8527,4.7451,Critical
SUP_140,48,31,7,0.6458,1.4375,0.7871,4.3277,1.3492,2.5454,83.4919,0.8551,4.3453,Elevated
SUP_123,42,27,6,0.6429,1.4286,0.7825,4.4443,1.398,2.503,84.0233,0.8566,5.086,Elevated
SUP_100,50,32,14,0.64,1.56,0.8248,4.3309,1.3652,2.6592,83.5517,0.8315,5.6385,Elevated
SUP_102,47,30,7,0.6383,1.4255,0.7882,4.2728,1.4339,2.5013,81.8443,0.8477,4.9874,Elevated
SUP_101,52,33,8,0.6346,1.4231,0.7678,4.7497,1.3249,2.2804,83.3325,0.8549,5.4967,Elevated
SUP_105,41,26,8,0.6341,1.4634,0.7988,4.3547,1.3761,2.5751,84.9812,0.8538,5.1186,Elevated
