feature,category_value,total,defaults,default_rate
person_home_ownership,MORTGAGE,13366,1687,0.1262
person_home_ownership,OTHER,106,33,0.3113
person_home_ownership,OWN,2563,192,0.0749
person_home_ownership,RENT,16374,5176,0.3161
loan_intent,DEBTCONSOLIDATION,5189,1488,0.2868
loan_intent,EDUCATION,6409,1106,0.1726
loan_intent,HOMEIMPROVEMENT,3594,940,0.2615
loan_intent,MEDICAL,6042,1617,0.2676
loan_intent,PERSONAL,5496,1093,0.1989
loan_intent,VENTURE,5679,844,0.1486
loan_grade,A,10702,1066,0.0996
loan_grade,B,10384,1695,0.1632
loan_grade,C,6436,1336,0.2076
loan_grade,D,3619,2137,0.5905
loan_grade,E,963,621,0.6449
loan_grade,F,241,170,0.7054
loan_grade,G,64,63,0.9844
cb_person_default_on_file,N,26680,4919,0.1844
cb_person_default_on_file,Y,5729,2169,0.3786
