order_region,total_items,late_items,late_rate_pct
Central Africa,1677,972,58.0
South Asia,7731,4350,56.3
East Africa,1852,1036,55.9
Western Europe,27109,15140,55.8
South of  USA ,4045,2256,55.8
Eastern Europe,3920,2182,55.7
East of USA,6915,3849,55.7
Southeast Asia,9539,5297,55.5
West Asia,6009,3322,55.3
Central Asia,553,306,55.3
US Center ,5887,3252,55.2
Central America,28341,15518,54.8
North Africa,3232,1762,54.5
Southern Europe,9431,5129,54.4
South America,14935,8111,54.3
Eastern Asia,7280,3955,54.3
West of USA ,7993,4313,54.0
Oceania,10148,5482,54.0
Northern Europe,9792,5292,54.0
Southern Africa,1157,617,53.3
Caribbean,8318,4415,53.1
West Africa,3696,1953,52.8
Canada,959,468,48.8
