month,risk_label,size,share
2025-03,High,89,0.6223776223776224
2025-03,Low,32,0.22377622377622378
2025-03,Medium,22,0.15384615384615385
2025-04,High,456,0.6333333333333333
2025-04,Low,144,0.2
2025-04,Medium,120,0.16666666666666666
2025-05,High,464,0.6236559139784946
2025-05,Low,152,0.20430107526881722
2025-05,Medium,128,0.17204301075268819
2025-06,High,457,0.6347222222222222
2025-06,Low,129,0.17916666666666667
2025-06,Medium,134,0.18611111111111112
2025-07,High,97,0.6423841059602649
2025-07,Low,25,0.16556291390728478
2025-07,Medium,29,0.19205298013245034
