Order Id,risk_score,risk_tier,Shipping Mode,actual_late
9171,0.9982,High,First Class,1
9171,0.9982,High,First Class,1
3432,0.9981,High,First Class,1
3432,0.9981,High,First Class,1
3432,0.9981,High,First Class,1
36502,0.9981,High,First Class,1
33311,0.998,High,First Class,1
33311,0.998,High,First Class,1
33311,0.998,High,First Class,1
1972,0.998,High,First Class,1
33311,0.998,High,First Class,1
1972,0.998,High,First Class,1
1972,0.998,High,First Class,1
1061,0.9979,High,First Class,1
1061,0.9979,High,First Class,1
53256,0.9979,High,First Class,1
37073,0.9979,High,First Class,1
3432,0.9979,High,First Class,1
53256,0.9979,High,First Class,1
37073,0.9979,High,First Class,1
5853,0.9979,High,First Class,1
5853,0.9979,High,First Class,1
5853,0.9979,High,First Class,1
1061,0.9979,High,First Class,1
1061,0.9979,High,First Class,1
37073,0.9979,High,First Class,1
37073,0.9978,High,First Class,1
19726,0.9978,High,First Class,1
49659,0.9978,High,First Class,1
52351,0.9977,High,First Class,1
65957,0.9977,High,First Class,1
52351,0.9977,High,First Class,1
52351,0.9977,High,First Class,1
19726,0.9977,High,First Class,1
12521,0.9977,High,First Class,1
44682,0.9977,High,First Class,1
52351,0.9977,High,First Class,1
19726,0.9977,High,First Class,1
44682,0.9977,High,First Class,1
44682,0.9977,High,First Class,1
6021,0.9976,High,First Class,1
6021,0.9976,High,First Class,1
12521,0.9976,High,First Class,1
20519,0.9976,High,First Class,1
71016,0.9976,High,First Class,1
49659,0.9976,High,First Class,1
20519,0.9976,High,First Class,1
20519,0.9976,High,First Class,1
73457,0.9975,High,First Class,1
74884,0.9975,High,First Class,1
65957,0.9975,High,First Class,1
63318,0.9975,High,First Class,1
63318,0.9975,High,First Class,1
7831,0.9975,High,First Class,1
7831,0.9975,High,First Class,1
52251,0.9975,High,First Class,1
7831,0.9975,High,First Class,1
6021,0.9975,High,First Class,1
18631,0.9974,High,First Class,1
64,0.9974,High,First Class,1
52251,0.9974,High,First Class,1
64,0.9974,High,First Class,1
64,0.9974,High,First Class,1
20519,0.9974,High,First Class,1
52251,0.9974,High,First Class,1
18631,0.9974,High,First Class,1
18631,0.9974,High,First Class,1
64,0.9974,High,First Class,1
19399,0.9974,High,First Class,1
64,0.9974,High,First Class,1
67967,0.9974,High,First Class,1
22246,0.9973,High,First Class,1
75953,0.9973,High,First Class,1
22246,0.9973,High,First Class,1
22246,0.9973,High,First Class,1
49477,0.9973,High,First Class,1
19399,0.9973,High,First Class,1
73313,0.9973,High,First Class,1
266,0.9973,High,First Class,1
57311,0.9972,High,First Class,1
57311,0.9972,High,First Class,1
28672,0.9972,High,First Class,1
17491,0.9972,High,First Class,1
22247,0.9972,High,First Class,1
57311,0.9972,High,First Class,1
22247,0.9972,High,First Class,1
22247,0.9972,High,First Class,1
8697,0.9972,High,First Class,1
19606,0.9972,High,First Class,1
28672,0.9972,High,First Class,1
28672,0.9972,High,First Class,1
17491,0.9972,High,First Class,1
48278,0.9972,High,First Class,1
17491,0.9972,High,First Class,1
17491,0.9972,High,First Class,1
17491,0.9972,High,First Class,1
57311,0.9972,High,First Class,1
57311,0.9972,High,First Class,1
25115,0.9972,High,First Class,1
25115,0.9972,High,First Class,1
22247,0.9972,High,First Class,1
67967,0.9972,High,First Class,1
48278,0.9972,High,First Class,1
48278,0.9972,High,First Class,1
22247,0.9972,High,First Class,1
41349,0.9971,High,First Class,1
42443,0.9971,High,First Class,1
64868,0.9971,High,First Class,1
28645,0.9971,High,First Class,1
64868,0.9971,High,First Class,1
65909,0.9971,High,First Class,1
65909,0.9971,High,First Class,1
19393,0.9971,High,First Class,1
18631,0.9971,High,First Class,1
19606,0.9971,High,First Class,1
28645,0.9971,High,First Class,1
25115,0.9971,High,First Class,1
67709,0.9971,High,First Class,1
64868,0.9971,High,First Class,1
42443,0.9971,High,First Class,1
41349,0.9971,High,First Class,1
41349,0.9971,High,First Class,1
42443,0.9971,High,First Class,1
28645,0.9971,High,First Class,1
19606,0.9971,High,First Class,1
41349,0.9971,High,First Class,1
65909,0.9971,High,First Class,1
19393,0.9971,High,First Class,1
42443,0.9971,High,First Class,1
65909,0.9971,High,First Class,1
65909,0.9971,High,First Class,1
64868,0.9971,High,First Class,1
28645,0.9971,High,First Class,1
28672,0.9971,High,First Class,1
19393,0.9971,High,First Class,1
19393,0.9971,High,First Class,1
28645,0.9971,High,First Class,1
45298,0.997,High,First Class,1
33847,0.997,High,First Class,1
33847,0.997,High,First Class,1
4802,0.997,High,First Class,1
4802,0.997,High,First Class,1
43768,0.997,High,First Class,1
5686,0.997,High,First Class,1
5686,0.997,High,First Class,1
5686,0.997,High,First Class,1
45298,0.997,High,First Class,1
557,0.997,High,First Class,1
60053,0.997,High,First Class,1
59412,0.997,High,First Class,1
33847,0.997,High,First Class,1
59805,0.997,High,First Class,1
59412,0.997,High,First Class,1
557,0.997,High,First Class,1
31954,0.997,High,First Class,1
31954,0.997,High,First Class,1
19491,0.997,High,First Class,1
59412,0.997,High,First Class,1
60053,0.997,High,First Class,1
31954,0.997,High,First Class,1
557,0.997,High,First Class,1
59412,0.997,High,First Class,1
45298,0.997,High,First Class,1
59412,0.997,High,First Class,1
31954,0.997,High,First Class,1
45298,0.997,High,First Class,1
557,0.997,High,First Class,1
43330,0.997,High,First Class,1
33847,0.997,High,First Class,1
43330,0.9969,High,First Class,1
43330,0.9969,High,First Class,1
33847,0.9969,High,First Class,1
26509,0.9969,High,First Class,1
26509,0.9969,High,First Class,1
49922,0.9969,High,First Class,1
